cal_yr,age_grp,sex,sch_grp,N_g_h,n_g_h
2020,15–19,M,C,62126.04071,152
2020,20–24,M,C,97958.17806,239
2020,25–29,M,C,136424.8409,333
2020,30–34,M,C,152419.2933,373
2020,35–39,M,C,139388.2333,341
2020,40–44,M,C,112559.7455,275
2020,45–49,M,C,90290.91136,221
2020,50–54,M,C,66673.98805,163
2020,55–59,M,C,47564.89873,116
2020,15–19,M,N,335905.9593,152
2020,20–24,M,N,529644.8219,239
2020,25–29,M,N,737628.1591,333
2020,30–34,M,N,824107.7067,373
2020,35–39,M,N,753650.7667,341
2020,40–44,M,N,608593.2545,275
2020,45–49,M,N,488189.0886,221
2020,50–54,M,N,360496.012,163
2020,55–59,M,N,257176.1013,116
2020,60–64,M,R,33897,212
2020,65–69,M,R,23728,149
2020,70–74,M,R,16949,106
2020,75–79,M,R,10169,64
2020,80–84,M,R,6779,42
2020,85–89,M,R,3390,30
2020,90–94,M,R,1695,30
2020,95+,M,R,1695,30
2020,15–19,F,C,56043.95327,137
2020,20–24,F,C,85374.29591,209
2020,25–29,F,C,126124.4535,308
2020,30–34,F,C,140253.5576,343
2020,35–39,F,C,131738.1357,322
2020,40–44,F,C,100029.712,244
2020,45–49,F,C,78649.61463,192
2020,50–54,F,C,63036.62911,154
2020,55–59,F,C,47511.51834,116
2020,15–19,F,N,303021.0467,137
2020,20–24,F,N,461605.7041,209
2020,25–29,F,N,681935.5465,308
2020,30–34,F,N,758329.4424,343
2020,35–39,F,N,712287.8643,322
2020,40–44,F,N,540845.288,244
2020,45–49,F,N,425246.3854,192
2020,50–54,F,N,340829.3709,154
2020,55–59,F,N,256887.4817,116
2020,60–64,F,R,40160,251
2020,65–69,F,R,26191,164
2020,70–74,F,R,20953,131
2020,75–79,F,R,13969,87
2020,80–84,F,R,12223,76
2020,85–89,F,R,6984,44
2020,90–94,F,R,3492,30
2020,95+,F,R,3492,30
2021,15–19,M,C,63368.56152,155.04
2021,20–24,M,C,99917.34162,243.78
2021,25–29,M,C,139153.3377,339.66
2021,30–34,M,C,155467.6792,380.46
2021,35–39,M,C,142175.998,347.82
2021,40–44,M,C,114810.9404,280.5
2021,45–49,M,C,92096.72959,225.42
2021,50–54,M,C,68007.46781,166.26
2021,55–59,M,C,48516.1967,118.32
2021,15–19,M,N,342624.0785,155.04
2021,20–24,M,N,540237.7183,243.78
2021,25–29,M,N,752380.7223,339.66
2021,30–34,M,N,840589.8608,380.46
2021,35–39,M,N,768723.782,347.82
2021,40–44,M,N,620765.1196,280.5
2021,45–49,M,N,497952.8704,225.42
2021,50–54,M,N,367705.9322,166.26
2021,55–59,M,N,262319.6233,118.32
2021,60–64,M,R,34574.94,216.24
2021,65–69,M,R,24202.56,151.98
2021,70–74,M,R,17287.98,108.12
2021,75–79,M,R,10372.38,65.28
2021,80–84,M,R,6914.58,42.84
2021,85–89,M,R,3457.8,30.6
2021,90–94,M,R,1728.9,30.6
2021,95+,M,R,1728.9,30.6
2021,15–19,F,C,57164.83234,139.74
2021,20–24,F,C,87081.78183,213.18
2021,25–29,F,C,128646.9426,314.16
2021,30–34,F,C,143058.6288,349.86
2021,35–39,F,C,134372.8984,328.44
2021,40–44,F,C,102030.3062,248.88
2021,45–49,F,C,80222.60692,195.84
2021,50–54,F,C,64297.36169,157.08
2021,55–59,F,C,48461.74871,118.32
2021,15–19,F,N,309081.4676,139.74
2021,20–24,F,N,470837.8182,213.18
2021,25–29,F,N,695574.2574,314.16
2021,30–34,F,N,773496.0312,349.86
2021,35–39,F,N,726533.6216,328.44
2021,40–44,F,N,551662.1938,248.88
2021,45–49,F,N,433751.3131,195.84
2021,50–54,F,N,347645.9583,157.08
2021,55–59,F,N,262025.2313,118.32
2021,60–64,F,R,40963.2,256.02
2021,65–69,F,R,26714.82,167.28
2021,70–74,F,R,21372.06,133.62
2021,75–79,F,R,14248.38,88.74
2021,80–84,F,R,12467.46,77.52
2021,85–89,F,R,7123.68,44.88
2021,90–94,F,R,3561.84,30.6
2021,95+,F,R,3561.84,30.6
