cal_yr,age_grp,sex,pop,emp,emp_rate,qx,sch_grp,N_g_h,n_g_h
2020,15–19,M,1651585.0,398032.0,24.1,0.01456743,C,58519.819378367116,152.0
2020,15–19,M,1651585.0,398032.0,24.1,0.01456743,N,335905.9593,152.0
2020,20–24,M,1439455.0,627603.0,43.6,0.020814375,C,92272.01381565596,239.0
2020,20–24,M,1439455.0,627603.0,43.6,0.020814375,N,529644.8219,239.0
2020,25–29,M,1257629.0,874053.0,69.5,0.021732013,C,128505.80782150847,333.0
2020,25–29,M,1257629.0,874053.0,69.5,0.021732013,N,737628.1591,333.0
2020,30–34,M,1151564.0,976527.0,84.8,0.023573941,C,143571.83254812894,373.0
2020,30–34,M,1151564.0,976527.0,84.8,0.023573941,N,824107.7067,373.0
2020,35–39,M,1000043.0,893039.0,89.3,0.027395478,C,131297.18460994287,341.0
2020,35–39,M,1000043.0,893039.0,89.3,0.027395478,N,753650.7667,341.0
2020,40–44,M,803065.0,721153.0,89.8,0.034954366,C,106026.00617481022,275.0
2020,40–44,M,803065.0,721153.0,89.8,0.034954366,N,608593.2545,275.0
2020,45–49,M,636391.0,578480.0,90.9,0.044367912,C,85049.80784080221,221.0
2020,45–49,M,636391.0,578480.0,90.9,0.044367912,N,488189.0886,221.0
2020,50–54,M,484869.0,427170.0,88.1,0.061908691,C,62803.772674561726,163.0
2020,50–54,M,484869.0,427170.0,88.1,0.061908691,N,360496.012,163.0
2020,55–59,M,363652.0,304741.0,83.8,0.080220858,C,44803.90590836226,116.0
2020,55–59,M,363652.0,304741.0,83.8,0.080220858,N,257176.1013,116.0
2020,60–64,M,303044.0,210313.0,69.4,0.116545458,R,34143.383321669346,212.0
2020,65–69,M,212131.0,118794.0,56.0,0.171419922,R,23900.46905202732,149.0
2020,70–74,M,151522.0,63640.0,42.0,0.254211929,R,17072.195295128586,106.0
2020,75–79,M,90913.0,25456.0,28.0,0.367699467,R,10242.91426964202,64.0
2020,80–84,M,60609.0,11334.0,18.7,0.517013411,R,6828.273756898737,42.0
2020,85–89,M,30305.0,3546.0,11.7,0.704471384,R,3414.640512743283,30.0
2020,90–94,M,15153.0,1061.0,7.0,0.86107354,R,1707.3202563716416,30.0
2020,95+,M,15153.0,713.0,4.7,0.946329621,R,1707.3202563716416,30.0
2020,15–19,F,1654676.0,359065.0,21.7,0.009967113,C,52790.7779914605,137.0
2020,15–19,F,1654676.0,359065.0,21.7,0.009967113,N,303021.0467,137.0
2020,20–24,F,1498575.0,546980.0,36.5,0.012678903,C,80418.58645925717,209.0
2020,20–24,F,1498575.0,546980.0,36.5,0.012678903,N,461605.7041,209.0
2020,25–29,F,1358083.0,808060.0,59.5,0.014857805,C,118803.32552444839,308.0
2020,25–29,F,1358083.0,808060.0,59.5,0.014857805,N,681935.5465,308.0
2020,30–34,F,1217592.0,898583.0,73.8,0.016716351,C,132112.2795550093,343.0
2020,30–34,F,1217592.0,898583.0,73.8,0.016716351,N,758329.4424,343.0
2020,35–39,F,1045880.0,844026.0,80.7,0.020083685,C,124091.15112281582,322.0
2020,35–39,F,1045880.0,844026.0,80.7,0.020083685,N,712287.8643,322.0
2020,40–44,F,796118.0,640875.0,80.5,0.026590599,C,94223.30172358543,244.0
2020,40–44,F,796118.0,640875.0,80.5,0.026590599,N,540845.288,244.0
2020,45–49,F,624406.0,503896.0,80.7,0.032482069,C,74084.25178437191,192.0
2020,45–49,F,624406.0,503896.0,80.7,0.032482069,N,425246.3854,192.0
2020,50–54,F,515135.0,403866.0,78.4,0.04533347,C,59377.5509847442,154.0
2020,50–54,F,515135.0,403866.0,78.4,0.04533347,N,340829.3709,154.0
2020,55–59,F,390254.0,304399.0,78.0,0.059912412,C,44753.62408216754,116.0
2020,55–59,F,390254.0,304399.0,78.0,0.059912412,N,256887.4817,116.0
2020,60–64,F,359034.0,229423.0,63.9,0.089731256,R,40451.90648724786,251.0
2020,65–69,F,234153.0,94598.0,40.4,0.137760273,R,26381.37158385231,164.0
2020,70–74,F,187322.0,56759.0,30.3,0.21214314,R,21105.298720799416,131.0
2020,75–79,F,124882.0,25227.0,20.2,0.319952876,R,14070.534903395552,87.0
2020,80–84,F,109272.0,14752.0,13.5,0.475169658,R,12311.843949044587,76.0
2020,85–89,F,62441.0,5246.0,8.4,0.657577274,R,7034.763817403861,44.0
2020,90–94,F,31221.0,1593.0,5.1,0.812834149,R,3517.3819087019306,30.0
2020,95+,F,31221.0,1062.0,3.4,0.929442199,R,3517.3819087019306,30.0
