id_synt,cal_yr,age_min,age_max,age_grp,sex,sch_grp,weight
1,2021,15,19,15–19,M,C,400.81316583760446
2,2021,15,19,15–19,M,C,400.81316583760446
3,2021,15,19,15–19,M,C,400.81316583760446
4,2021,15,19,15–19,M,C,400.81316583760446
5,2021,15,19,15–19,M,C,400.81316583760446
6,2021,15,19,15–19,M,C,400.81316583760446
7,2021,15,19,15–19,M,C,400.81316583760446
8,2021,15,19,15–19,M,C,400.81316583760446
9,2021,15,19,15–19,M,C,400.81316583760446
10,2021,15,19,15–19,M,C,400.81316583760446
11,2021,15,19,15–19,M,C,400.81316583760446
12,2021,15,19,15–19,M,C,400.81316583760446
13,2021,15,19,15–19,M,C,400.81316583760446
14,2021,15,19,15–19,M,C,400.81316583760446
15,2021,15,19,15–19,M,C,400.81316583760446
16,2021,15,19,15–19,M,C,400.81316583760446
17,2021,15,19,15–19,M,C,400.81316583760446
18,2021,15,19,15–19,M,C,400.81316583760446
19,2021,15,19,15–19,M,C,400.81316583760446
20,2021,15,19,15–19,M,C,400.81316583760446
21,2021,15,19,15–19,M,C,400.81316583760446
22,2021,15,19,15–19,M,C,400.81316583760446
23,2021,15,19,15–19,M,C,400.81316583760446
24,2021,15,19,15–19,M,C,400.81316583760446
25,2021,15,19,15–19,M,C,400.81316583760446
26,2021,15,19,15–19,M,C,400.81316583760446
27,2021,15,19,15–19,M,C,400.81316583760446
28,2021,15,19,15–19,M,C,400.81316583760446
29,2021,15,19,15–19,M,C,400.81316583760446
30,2021,15,19,15–19,M,C,400.81316583760446
31,2021,15,19,15–19,M,C,400.81316583760446
32,2021,15,19,15–19,M,C,400.81316583760446
33,2021,15,19,15–19,M,C,400.81316583760446
34,2021,15,19,15–19,M,C,400.81316583760446
35,2021,15,19,15–19,M,C,400.81316583760446
36,2021,15,19,15–19,M,C,400.81316583760446
37,2021,15,19,15–19,M,C,400.81316583760446
38,2021,15,19,15–19,M,C,400.81316583760446
39,2021,15,19,15–19,M,C,400.81316583760446
40,2021,15,19,15–19,M,C,400.81316583760446
41,2021,15,19,15–19,M,C,400.81316583760446
42,2021,15,19,15–19,M,C,400.81316583760446
43,2021,15,19,15–19,M,C,400.81316583760446
44,2021,15,19,15–19,M,C,400.81316583760446
45,2021,15,19,15–19,M,C,400.81316583760446
46,2021,15,19,15–19,M,C,400.81316583760446
47,2021,15,19,15–19,M,C,400.81316583760446
48,2021,15,19,15–19,M,C,400.81316583760446
49,2021,15,19,15–19,M,C,400.81316583760446
50,2021,15,19,15–19,M,C,400.81316583760446
51,2021,15,19,15–19,M,C,400.81316583760446
52,2021,15,19,15–19,M,C,400.81316583760446
53,2021,15,19,15–19,M,C,400.81316583760446
54,2021,15,19,15–19,M,C,400.81316583760446
55,2021,15,19,15–19,M,C,400.81316583760446
56,2021,15,19,15–19,M,C,400.81316583760446
57,2021,15,19,15–19,M,C,400.81316583760446
58,2021,15,19,15–19,M,C,400.81316583760446
59,2021,15,19,15–19,M,C,400.81316583760446
60,2021,15,19,15–19,M,C,400.81316583760446
61,2021,15,19,15–19,M,C,400.81316583760446
62,2021,15,19,15–19,M,C,400.81316583760446
63,2021,15,19,15–19,M,C,400.81316583760446
64,2021,15,19,15–19,M,C,400.81316583760446
65,2021,15,19,15–19,M,C,400.81316583760446
66,2021,15,19,15–19,M,C,400.81316583760446
67,2021,15,19,15–19,M,C,400.81316583760446
68,2021,15,19,15–19,M,C,400.81316583760446
69,2021,15,19,15–19,M,C,400.81316583760446
70,2021,15,19,15–19,M,C,400.81316583760446
71,2021,15,19,15–19,M,C,400.81316583760446
72,2021,15,19,15–19,M,C,400.81316583760446
73,2021,15,19,15–19,M,C,400.81316583760446
74,2021,15,19,15–19,M,C,400.81316583760446
75,2021,15,19,15–19,M,C,400.81316583760446
76,2021,15,19,15–19,M,C,400.81316583760446
77,2021,15,19,15–19,M,C,400.81316583760446
78,2021,15,19,15–19,M,C,400.81316583760446
79,2021,15,19,15–19,M,C,400.81316583760446
80,2021,15,19,15–19,M,C,400.81316583760446
81,2021,15,19,15–19,M,C,400.81316583760446
82,2021,15,19,15–19,M,C,400.81316583760446
83,2021,15,19,15–19,M,C,400.81316583760446
84,2021,15,19,15–19,M,C,400.81316583760446
85,2021,15,19,15–19,M,C,400.81316583760446
86,2021,15,19,15–19,M,C,400.81316583760446
87,2021,15,19,15–19,M,C,400.81316583760446
88,2021,15,19,15–19,M,C,400.81316583760446
89,2021,15,19,15–19,M,C,400.81316583760446
90,2021,15,19,15–19,M,C,400.81316583760446
91,2021,15,19,15–19,M,C,400.81316583760446
92,2021,15,19,15–19,M,C,400.81316583760446
