id_synt,cal_yr,age_min,age_max,age_grp,sex,sch_grp,weight,ie,sch_status,contribution,pension,q_as,p_as,regr_0_ind,retir_0_ind,death_ind
1,2021,15,19,15–19,M,C,400.81316583760446,11744.755516571538,C,1291.9231068228692,0.0,0.014421756,0.985578244,0,0,0
2,2021,15,19,15–19,M,C,400.81316583760446,6944.972825665837,C,763.9470108232421,0.0,0.014421756,0.985578244,0,0,0
3,2021,15,19,15–19,M,C,400.81316583760446,6370.799932737911,C,700.7879926011702,0.0,0.014421756,0.985578244,0,0,1
4,2021,15,19,15–19,M,C,400.81316583760446,31079.381947599708,C,3418.7320142359677,0.0,0.014421756,0.985578244,0,0,0
5,2021,15,19,15–19,M,C,400.81316583760446,12341.817287856658,C,1357.5999016642322,0.0,0.014421756,0.985578244,0,0,0
6,2021,15,19,15–19,M,C,400.81316583760446,8453.952485862677,C,929.9347734448944,0.0,0.014421756,0.985578244,0,0,0
7,2021,15,19,15–19,M,C,400.81316583760446,12050.14350080616,C,1325.5157850886776,0.0,0.014421756,0.985578244,0,0,0
8,2021,15,19,15–19,M,C,400.81316583760446,1341.3370139316266,C,147.54707153247892,0.0,0.014421756,0.985578244,0,0,0
9,2021,15,19,15–19,M,C,400.81316583760446,6185.358241974396,C,680.3894066171835,0.0,0.014421756,0.985578244,0,0,0
10,2021,15,19,15–19,M,C,400.81316583760446,3355.457208577831,C,369.1002929435614,0.0,0.014421756,0.985578244,0,0,0
11,2021,15,19,15–19,M,C,400.81316583760446,18325.14881513744,C,2015.7663696651182,0.0,0.014421756,0.985578244,0,0,0
12,2021,15,19,15–19,M,C,400.81316583760446,8923.204825470444,C,981.5525308017488,0.0,0.014421756,0.985578244,0,0,0
13,2021,15,19,15–19,M,C,400.81316583760446,28085.0662336757,C,3089.3572857043273,0.0,0.014421756,0.985578244,0,0,0
14,2021,15,19,15–19,M,C,400.81316583760446,17214.08356208496,C,1893.5491918293455,0.0,0.014421756,0.985578244,0,0,0
15,2021,15,19,15–19,M,C,400.81316583760446,4398.004194238236,C,483.780461366206,0.0,0.014421756,0.985578244,0,0,0
16,2021,15,19,15–19,M,C,400.81316583760446,14321.393823665521,C,1575.3533206032073,0.0,0.014421756,0.985578244,0,0,0
17,2021,15,19,15–19,M,C,400.81316583760446,6816.740817235342,C,749.8414898958875,0.0,0.014421756,0.985578244,0,0,0
18,2021,15,19,15–19,M,C,400.81316583760446,11009.829146365024,C,1211.0812061001525,0.0,0.014421756,0.985578244,0,0,0
19,2021,15,19,15–19,M,C,400.81316583760446,14804.31985008384,C,1628.4751835092227,0.0,0.014421756,0.985578244,0,0,0
20,2021,15,19,15–19,M,C,400.81316583760446,6917.709042981015,C,760.9479947279117,0.0,0.014421756,0.985578244,0,0,0
21,2021,15,19,15–19,M,C,400.81316583760446,24463.30329302613,C,2690.9633622328743,0.0,0.014421756,0.985578244,0,0,0
22,2021,15,19,15–19,M,C,400.81316583760446,14709.880485762353,C,1618.086853433859,0.0,0.014421756,0.985578244,0,0,0
23,2021,15,19,15–19,M,C,400.81316583760446,12138.763327260061,C,1335.2639659986066,0.0,0.014421756,0.985578244,0,0,0
24,2021,15,19,15–19,M,C,400.81316583760446,3769.2857878905943,C,414.62143666796544,0.0,0.014421756,0.985578244,0,0,0
