id_synt,cal_yr,age_min,age_max,age_grp,sex,sch_grp,weight,ie,sch_status,contribution,pension,q_as,p_as,regr_0_ind,retir_0_ind,death_ind
1,2020,15,19,15–19,M,C,384.9988116997836,15367.102305054046,C,1690.381253555945,0.0,0.01456743,0.98543257,0,0,0
2,2020,15,19,15–19,M,C,384.9988116997836,9086.958665699114,C,999.5654532269026,0.0,0.01456743,0.98543257,0,0,0
3,2020,15,19,15–19,M,C,384.9988116997836,8335.697937115812,C,916.9267730827394,0.0,0.01456743,0.98543257,0,0,0
4,2020,15,19,15–19,M,C,384.9988116997836,40664.96244155391,C,4473.145868570929,0.0,0.01456743,0.98543257,0,0,0
5,2020,15,19,15–19,M,C,384.9988116997836,16148.31135694358,C,1776.3142492637935,0.0,0.01456743,0.98543257,0,0,0
6,2020,15,19,15–19,M,C,384.9988116997836,11061.341596171524,C,1216.7475755788676,0.0,0.01456743,0.98543257,0,0,0
7,2020,15,19,15–19,M,C,384.9988116997836,15766.678813040617,C,1734.334669434468,0.0,0.01456743,0.98543257,0,0,0
8,2020,15,19,15–19,M,C,384.9988116997836,1755.0355211361675,C,193.05390732497844,0.0,0.01456743,0.98543257,0,0,0
9,2020,15,19,15–19,M,C,384.9988116997836,8093.061857585311,C,890.2368043343841,0.0,0.01456743,0.98543257,0,0,0
10,2020,15,19,15–19,M,C,384.9988116997836,4390.35568954089,C,482.9391258494978,0.0,0.01456743,0.98543257,0,0,0
11,2020,15,19,15–19,M,C,384.9988116997836,23977.03691662381,C,2637.4740608286197,0.0,0.01456743,0.98543257,0,0,0
12,2020,15,19,15–19,M,C,384.9988116997836,11675.321912702077,C,1284.2854103972284,0.0,0.01456743,0.98543257,0,0,0
13,2020,15,19,15–19,M,C,384.9988116997836,36747.132407154575,C,4042.184564787004,0.0,0.01456743,0.98543257,0,0,0
14,2020,15,19,15–19,M,C,384.9988116997836,22523.29414716748,C,2477.562356188423,0.0,0.01456743,0.98543257,0,0,0
15,2020,15,19,15–19,M,C,384.9988116997836,5754.447616687781,C,632.989237835656,0.0,0.01456743,0.98543257,0,0,0
16,2020,15,19,15–19,M,C,384.9988116997836,18738.43382509858,C,2061.227720760844,0.0,0.01456743,0.98543257,0,0,0
17,2020,15,19,15–19,M,C,384.9988116997836,8919.177021410855,C,981.109472355194,0.0,0.01456743,0.98543257,0,0,0
18,2020,15,19,15–19,M,C,384.9988116997836,14405.508110801948,C,1584.6058921882145,0.0,0.01456743,0.98543257,0,0,0
19,2020,15,19,15–19,M,C,384.9988116997836,19370.30510102872,C,2130.733561113159,0.0,0.01456743,0.98543257,0,0,0
20,2020,15,19,15–19,M,C,384.9988116997836,9051.286119161276,C,995.6414731077404,0.0,0.01456743,0.98543257,0,0,0
21,2020,15,19,15–19,M,C,384.9988116997836,32008.336307475343,C,3520.916993822288,0.0,0.01456743,0.98543257,0,0,0
22,2020,15,19,15–19,M,C,384.9988116997836,19246.738512426266,C,2117.1412363668887,0.0,0.01456743,0.98543257,0,0,0
23,2020,15,19,15–19,M,C,384.9988116997836,15882.630987392116,C,1747.089408613133,0.0,0.01456743,0.98543257,0,0,0
24,2020,15,19,15–19,M,C,384.9988116997836,4931.818311396368,C,542.5000142536005,0.0,0.01456743,0.98543257,0,0,0
25,2020,15,19,15–19,M,C,384.9988116997836,10990.610229912156,C,1208.9671252903372,0.0,0.01456743,0.98543257,0,0,0
26,2020,15,19,15–19,M,C,384.9988116997836,8782.349221306133,C,966.0584143436746,0.0,0.01456743,0.98543257,0,0,0
27,2020,15,19,15–19,M,C,384.9988116997836,36200.87779592167,C,3982.096557551384,0.0,0.01456743,0.98543257,0,0,0
