cal_yr,age_grp,sex,sch_grp,N_g_h,n_g_h
2021,15–19,M,C,62126.04071,152
2021,20–24,M,C,97958.17806,239
2021,25–29,M,C,136424.8409,333
2021,30–34,M,C,152419.2933,373
2021,35–39,M,C,139388.2333,341
2021,40–44,M,C,112559.7455,275
2021,45–49,M,C,90290.91136,221
2021,50–54,M,C,66673.98805,163
2021,55–59,M,C,47564.89873,116
2021,15–19,M,N,335905.9593,152
2021,20–24,M,N,529644.8219,239
2021,25–29,M,N,737628.1591,333
2021,30–34,M,N,824107.7067,373
2021,35–39,M,N,753650.7667,341
2021,40–44,M,N,608593.2545,275
2021,45–49,M,N,488189.0886,221
2021,50–54,M,N,360496.012,163
2021,55–59,M,N,257176.1013,116
2021,60–64,M,R,33897,212
2021,65–69,M,R,23728,149
2021,70–74,M,R,16949,106
2021,75–79,M,R,10169,64
2021,80–84,M,R,6779,42
2021,85–89,M,R,3390,30
2021,90–94,M,R,1695,30
2021,95+,M,R,1695,30
2021,15–19,F,C,56043.95327,137
2021,20–24,F,C,85374.29591,209
2021,25–29,F,C,126124.4535,308
2021,30–34,F,C,140253.5576,343
2021,35–39,F,C,131738.1357,322
2021,40–44,F,C,100029.712,244
2021,45–49,F,C,78649.61463,192
2021,50–54,F,C,63036.62911,154
2021,55–59,F,C,47511.51834,116
2021,15–19,F,N,303021.0467,137
2021,20–24,F,N,461605.7041,209
2021,25–29,F,N,681935.5465,308
2021,30–34,F,N,758329.4424,343
2021,35–39,F,N,712287.8643,322
2021,40–44,F,N,540845.288,244
2021,45–49,F,N,425246.3854,192
2021,50–54,F,N,340829.3709,154
2021,55–59,F,N,256887.4817,116
2021,60–64,F,R,40160,251
2021,65–69,F,R,26191,164
2021,70–74,F,R,20953,131
2021,75–79,F,R,13969,87
2021,80–84,F,R,12223,76
2021,85–89,F,R,6984,44
2021,90–94,F,R,3492,30
2021,95+,F,R,3492,30
