id_person,cal_yr,age_grp,sex,sch_grp,weight
1,2021,15–19,M,C,408.72395204654435
2,2021,15–19,M,C,408.72395204654435
3,2021,15–19,M,C,408.72395204654435
4,2021,15–19,M,C,408.72395204654435
5,2021,15–19,M,C,408.72395204654435
6,2021,15–19,M,C,408.72395204654435
7,2021,15–19,M,C,408.72395204654435
8,2021,15–19,M,C,408.72395204654435
9,2021,15–19,M,C,408.72395204654435
10,2021,15–19,M,C,408.72395204654435
11,2021,15–19,M,C,408.72395204654435
12,2021,15–19,M,C,408.72395204654435
13,2021,15–19,M,C,408.72395204654435
14,2021,15–19,M,C,408.72395204654435
15,2021,15–19,M,C,408.72395204654435
16,2021,15–19,M,C,408.72395204654435
17,2021,15–19,M,C,408.72395204654435
18,2021,15–19,M,C,408.72395204654435
19,2021,15–19,M,C,408.72395204654435
20,2021,15–19,M,C,408.72395204654435
21,2021,15–19,M,C,408.72395204654435
22,2021,15–19,M,C,408.72395204654435
23,2021,15–19,M,C,408.72395204654435
24,2021,15–19,M,C,408.72395204654435
25,2021,15–19,M,C,408.72395204654435
26,2021,15–19,M,C,408.72395204654435
27,2021,15–19,M,C,408.72395204654435
28,2021,15–19,M,C,408.72395204654435
29,2021,15–19,M,C,408.72395204654435
30,2021,15–19,M,C,408.72395204654435
31,2021,15–19,M,C,408.72395204654435
32,2021,15–19,M,C,408.72395204654435
33,2021,15–19,M,C,408.72395204654435
34,2021,15–19,M,C,408.72395204654435
35,2021,15–19,M,C,408.72395204654435
36,2021,15–19,M,C,408.72395204654435
37,2021,15–19,M,C,408.72395204654435
38,2021,15–19,M,C,408.72395204654435
39,2021,15–19,M,C,408.72395204654435
40,2021,15–19,M,C,408.72395204654435
41,2021,15–19,M,C,408.72395204654435
42,2021,15–19,M,C,408.72395204654435
43,2021,15–19,M,C,408.72395204654435
44,2021,15–19,M,C,408.72395204654435
45,2021,15–19,M,C,408.72395204654435
46,2021,15–19,M,C,408.72395204654435
47,2021,15–19,M,C,408.72395204654435
48,2021,15–19,M,C,408.72395204654435
49,2021,15–19,M,C,408.72395204654435
50,2021,15–19,M,C,408.72395204654435
51,2021,15–19,M,C,408.72395204654435
52,2021,15–19,M,C,408.72395204654435
53,2021,15–19,M,C,408.72395204654435
54,2021,15–19,M,C,408.72395204654435
55,2021,15–19,M,C,408.72395204654435
56,2021,15–19,M,C,408.72395204654435
57,2021,15–19,M,C,408.72395204654435
58,2021,15–19,M,C,408.72395204654435
59,2021,15–19,M,C,408.72395204654435
60,2021,15–19,M,C,408.72395204654435
61,2021,15–19,M,C,408.72395204654435
62,2021,15–19,M,C,408.72395204654435
63,2021,15–19,M,C,408.72395204654435
64,2021,15–19,M,C,408.72395204654435
65,2021,15–19,M,C,408.72395204654435
66,2021,15–19,M,C,408.72395204654435
67,2021,15–19,M,C,408.72395204654435
68,2021,15–19,M,C,408.72395204654435
69,2021,15–19,M,C,408.72395204654435
70,2021,15–19,M,C,408.72395204654435
71,2021,15–19,M,C,408.72395204654435
72,2021,15–19,M,C,408.72395204654435
73,2021,15–19,M,C,408.72395204654435
74,2021,15–19,M,C,408.72395204654435
75,2021,15–19,M,C,408.72395204654435
76,2021,15–19,M,C,408.72395204654435
77,2021,15–19,M,C,408.72395204654435
78,2021,15–19,M,C,408.72395204654435
79,2021,15–19,M,C,408.72395204654435
80,2021,15–19,M,C,408.72395204654435
81,2021,15–19,M,C,408.72395204654435
82,2021,15–19,M,C,408.72395204654435
83,2021,15–19,M,C,408.72395204654435
84,2021,15–19,M,C,408.72395204654435
85,2021,15–19,M,C,408.72395204654435
86,2021,15–19,M,C,408.72395204654435
87,2021,15–19,M,C,408.72395204654435
88,2021,15–19,M,C,408.72395204654435
89,2021,15–19,M,C,408.72395204654435
90,2021,15–19,M,C,408.72395204654435
91,2021,15–19,M,C,408.72395204654435
92,2021,15–19,M,C,408.72395204654435
93,2021,15–19,M,C,408.72395204654435
94,2021,15–19,M,C,408.72395204654435
95,2021,15–19,M,C,408.72395204654435
96,2021,15–19,M,C,408.72395204654435
97,2021,15–19,M,C,408.72395204654435
98,2021,15–19,M,C,408.72395204654435
99,2021,15–19,M,C,408.72395204654435
100,2021,15–19,M,C,408.72395204654435
101,2021,15–19,M,C,408.72395204654435
102,2021,15–19,M,C,408.72395204654435
103,2021,15–19,M,C,408.72395204654435
104,2021,15–19,M,C,408.72395204654435
105,2021,15–19,M,C,408.72395204654435
106,2021,15–19,M,C,408.72395204654435
107,2021,15–19,M,C,408.72395204654435
108,2021,15–19,M,C,408.72395204654435
109,2021,15–19,M,C,408.72395204654435
