cal_yr,age_grp,sex,pop,emp,emp_rate,qx,sch_grp,N_g_h,n_g_h
2021,15–19,M,1651585,398032,24.1,0.01456743,C,62126.04071107474,152
2021,15–19,M,1651585,398032,24.1,0.01456743,N,335905.9593,152
2021,20–24,M,1439455,627603,43.6,0.020814375,C,97958.1780616946,239
2021,20–24,M,1439455,627603,43.6,0.020814375,N,529644.8219,239
2021,25–29,M,1257629,874053,69.5,0.021732013,C,136424.84090236007,333
2021,25–29,M,1257629,874053,69.5,0.021732013,N,737628.1591,333
2021,30–34,M,1151564,976527,84.8,0.023573941,C,152419.29330263674,373
2021,30–34,M,1151564,976527,84.8,0.023573941,N,824107.7067,373
2021,35–39,M,1000043,893039,89.3,0.027395478,C,139388.2333024113,341
2021,35–39,M,1000043,893039,89.3,0.027395478,N,753650.7667,341
2021,40–44,M,803065,721153,89.8,0.034954366,C,112559.74550194721,275
2021,40–44,M,803065,721153,89.8,0.034954366,N,608593.2545,275
2021,45–49,M,636391,578480,90.9,0.044367912,C,90290.91136156197,221
2021,45–49,M,636391,578480,90.9,0.044367912,N,488189.0886,221
2021,50–54,M,484869,427170,88.1,0.061908691,C,66673.98805115341,163
2021,50–54,M,484869,427170,88.1,0.061908691,N,360496.012,163
2021,55–59,M,363652,304741,83.8,0.080220858,C,47564.89873082284,116
2021,55–59,M,363652,304741,83.8,0.080220858,N,257176.1013,116
2021,60–64,M,303044,210313,69.4,0.116545458,R,33897.30028436523,212
2021,65–69,M,212131,118794,56.0,0.171419922,R,23728.21019994153,149
2021,70–74,M,151522,63640,42.0,0.254211929,R,16949.150146611977,106
2021,75–79,M,90913,25456,28.0,0.367699467,R,10169.090084423695,64
2021,80–84,M,60609,11334,18.7,0.517013411,R,6779.060053329553,42
2021,85–89,M,30305,3546,11.7,0.704471384,R,3390.0300310941416,30
2021,90–94,M,15153,1061,7.0,0.86107354,R,1695.0150155470708,30
2021,95+,M,15153,713,4.7,0.946329621,R,1695.0150155470708,30
2021,15–19,F,1654676,359065,21.7,0.009967113,C,56043.95327096952,137
2021,15–19,F,1654676,359065,21.7,0.009967113,N,303021.0467,137
2021,20–24,F,1498575,546980,36.5,0.012678903,C,85374.29591147692,209
2021,20–24,F,1498575,546980,36.5,0.012678903,N,461605.7041,209
2021,25–29,F,1358083,808060,59.5,0.014857805,C,126124.45350218186,308
2021,25–29,F,1358083,808060,59.5,0.014857805,N,681935.5465,308
2021,30–34,F,1217592,898583,73.8,0.016716351,C,140253.5576024263,343
2021,30–34,F,1217592,898583,73.8,0.016716351,N,758329.4424,343
2021,35–39,F,1045880,844026,80.7,0.020083685,C,131738.135702279,322
2021,35–39,F,1045880,844026,80.7,0.020083685,N,712287.8643,322
2021,40–44,F,796118,640875,80.5,0.026590599,C,100029.71200173044,244
2021,40–44,F,796118,640875,80.5,0.026590599,N,540845.288,244
2021,45–49,F,624406,503896,80.7,0.032482069,C,78649.61463136057,192
2021,45–49,F,624406,503896,80.7,0.032482069,N,425246.3854,192
2021,50–54,F,515135,403866,78.4,0.04533347,C,63036.62911109049,154
2021,50–54,F,515135,403866,78.4,0.04533347,N,340829.3709,154
2021,55–59,F,390254,304399,78.0,0.059912412,C,47511.518340821916,116
2021,55–59,F,390254,304399,78.0,0.059912412,N,256887.4817,116
2021,60–64,F,359034,229423,63.9,0.089731256,R,40160.35576659018,251
2021,65–69,F,234153,94598,40.4,0.137760273,R,26191.232018993116,164
2021,70–74,F,187322,56759,30.3,0.21214314,R,20953.18561696624,131
2021,75–79,F,124882,25227,20.2,0.319952876,R,13969.123747597068,87
2021,80–84,F,109272,14752,13.5,0.475169658,R,12223.108280254777,76
2021,85–89,F,62441,5246,8.4,0.657577274,R,6984.0618693691695,44
2021,90–94,F,31221,1593,5.1,0.812834149,R,3492.0309346845847,30
2021,95+,F,31221,1062,3.4,0.929442199,R,3492.0309346845847,30
