cal_yr,age_grp,sex,pop,emp,emp_rate,qx
2015,15–19,M,1423289,358314,25.17507218,0.003101714
2015,20–24,M,1323196,602649,45.54494385,0.004439332
2015,25–29,M,1204666,874591,72.60031188,0.004640178
2015,30–34,M,1045051,925736,88.58282658,0.004989236
2015,35–39,M,878993,819956,93.28356619,0.005585384
2015,40–44,M,702972,659429,93.8058706,0.006832732
2015,45–49,M,589624,559877,94.95494028,0.008492232
2015,50–54,M,473360,435633,92.03003563,0.011894652
2015,55–59,M,331253,289973,87.53821777,0.015754842
2015,60–64,M,232007,168195,72.495851,0.023572048
2015,65–69,M,167209,97814,58.49809302,0.035725206
2015,70–74,M,118095,51812,43.87356977,0.055648332
2015,75–79,M,77224,22587,29.24904651,0.087142222
2015,80–84,M,40222,7857,19.53418463,0.135211718
2015,85–89,M,13200,1613,12.22192301,0.206170922
2015,90–94,M,2524,185,7.312261628,0.306647994
2015,95+,M,268,13,4.909661379,0.504076057
2015,15–19,F,1393597,315901,22.66801105,0.002371616
2015,20–24,F,1299601,495515,38.12822135,0.002965982
2015,25–29,F,1188690,738821,62.15422384,0.003473586
2015,30–34,F,1039858,801649,77.09212973,0.003917918
2015,35–39,F,882897,744282,84.29993048,0.00451318
2015,40–44,F,715604,601759,84.09100872,0.005588424
2015,45–49,F,608920,513319,84.29993048,0.006527452
2015,50–54,F,494884,405297,81.89733023,0.008921358
2015,55–59,F,347661,283272,81.47948671,0.012037718
2015,60–64,F,264051,176255,66.75050257,0.018481668
2015,65–69,F,198139,83619,42.20219568,0.029490462
2015,70–74,F,156408,49506,31.65164676,0.047803962
2015,75–79,F,105280,22215,21.10109784,0.076237658
2015,80–84,F,51806,7306,14.10221885,0.121602246
2015,85–89,F,16953,1488,8.774713953,0.18128184
2015,90–94,F,3741,199,5.3275049,0.259424992
2015,95+,F,551,20,3.551669934,0.467861103
2016,15–19,M,1458307,338716,23.22667606,0.003062082
2016,20–24,M,1333367,560281,42.02004465,0.004383624
2016,25–29,M,1223882,819774,66.98149319,0.004580908
2016,30–34,M,1078601,881509,81.72705932,0.00492635
2016,35–39,M,905961,779706,86.06399053,0.005513416
2016,40–44,M,723267,625958,86.54587178,0.006747308
2016,45–49,M,608991,533513,87.60601052,0.00839266
2016,50–54,M,497815,422682,84.90747554,0.011781256
2016,55–59,M,345632,279144,80.76329683,0.01561119
2016,60–64,M,243947,163164,66.88511694,0.023390498
2016,65–69,M,172138,92904,53.97069955,0.035483444
2016,70–74,M,120201,48655,40.47802466,0.055295402
2016,75–79,M,78049,21062,26.98534978,0.086668806
2016,80–84,M,41237,7432,18.0223586,0.134585068
2016,85–89,M,13882,1565,11.27602116,0.20542092
2016,90–94,M,2641,178,6.746337444,0.305822788
2016,95+,M,272,12,4.529683712,0.503495762
2016,15–19,F,1428500,298751,20.91364608,0.002308666
2016,20–24,F,1310267,460917,35.17733096,0.00289505
2016,25–29,F,1207590,692479,57.34386827,0.003391344
2016,30–34,F,1072589,762886,71.12567191,0.003821462
2016,35–39,F,908532,706617,77.7756331,0.00440299
2016,40–44,F,736131,571112,77.5828806,0.005473626
2016,45–49,F,627473,488021,77.7756331,0.00640864
2016,50–54,F,520352,393173,75.55897937,0.008786858
2016,55–59,F,364256,273824,75.17347437,0.011857098
2016,60–64,F,271537,167224,61.58442324,0.0182334
2016,65–69,F,205167,79884,38.93600468,0.029141838
2016,70–74,F,157034,45857,29.20200351,0.047316092
2016,75–79,F,108186,21062,19.46800234,0.075606194
2016,80–84,F,54565,7099,13.01079364,0.120827582
2016,85–89,F,18148,1469,8.095604933,0.180448148
2016,90–94,F,3973,195,4.915188709,0.25865552
2016,95+,F,573,19,3.276792473,0.467422675
2017,15–19,M,1501181,319425,21.27827994,0.003029578
2017,20–24,M,1342648,516854,38.49514545,0.004339466
2017,25–29,M,1243789,763222,61.36267451,0.004533438
2017,30–34,M,1113944,834024,74.87129206,0.004875076
2017,35–39,M,935287,737422,78.84441487,0.005453994
2017,40–44,M,749157,593976,79.28587296,0.006676334
2017,45–49,M,623363,500293,80.25708076,0.008309792
2017,50–54,M,511221,397653,77.78491546,0.0116872
2017,55–59,M,370587,274191,73.98837588,0.01549208
2017,60–64,M,257262,157636,61.27438289,0.023240282
2017,65–69,M,178627,88319,49.44330608,0.035285206
2017,70–74,M,121954,45224,37.08247956,0.055010252
2017,75–79,M,79254,19593,24.72165304,0.086293126
2017,80–84,M,42079,6947,16.51053257,0.134094
2017,85–89,M,14648,1513,10.33011931,0.204843028
2017,90–94,M,2801,173,6.18041326,0.305210864
2017,95+,M,294,12,4.149706046,0.503095053
2017,15–19,F,1471134,281859,19.15928111,0.002250558
2017,20–24,F,1320306,425488,32.22644057,0.002830656
2017,25–29,F,1227493,644845,52.53351271,0.003316766
2017,30–34,F,1106316,720867,65.15921408,0.003733476
2017,35–39,F,936857,667523,71.25133573,0.004302698
2017,40–44,F,761940,541547,71.07475249,0.00537253
2017,45–49,F,641680,457206,71.25133573,0.006306258
2017,50–54,F,535277,370522,69.22062851,0.008675792
2017,55–59,F,391237,269435,68.86746204,0.011708506
2017,60–64,F,281475,158804,56.4183439,0.018035804
2017,65–69,F,212821,75913,35.66981367,0.028874608
2017,70–74,F,156902,41975,26.75236025,0.046959544
2017,75–79,F,111230,19838,17.83490684,0.075181666
2017,80–84,F,57246,6823,11.91936843,0.120374188
2017,85–89,F,19469,1444,7.416495912,0.180067354
2017,90–94,F,4267,192,4.502872518,0.258493954
2017,95+,F,614,18,3.001915012,0.467606298
2018,15–19,M,1543710,344191,22.29636079,0.003000356
2018,20–24,M,1354047,546182,40.33698467,0.004296098
2018,25–29,M,1261242,810961,64.29863382,0.004487542
2018,30–34,M,1138297,893035,78.45358486,0.004827638
2018,35–39,M,965746,797868,82.61680576,0.005401072
2018,40–44,M,779483,647590,83.07938586,0.006615042
2018,45–49,M,641077,539127,84.09706208,0.008239382
2018,50–54,M,524915,427840,81.50661352,0.011608222
2018,55–59,M,395108,306321,77.52842467,0.015392838
2018,60–64,M,271564,174361,64.2061178,0.023116706
2018,65–69,M,186001,96365,51.80897114,0.035123104
2018,70–74,M,124030,48194,38.85672835,0.05477778
2018,75–79,M,80592,20877,25.90448557,0.085988268
2018,80–84,M,42821,7408,17.30049572,0.133695174
2018,85–89,M,15364,1663,10.82437433,0.20437106
2018,90–94,M,2975,193,6.476121392,0.304706324
2018,95+,M,303,13,4.348252935,0.50274645
2018,15–19,F,1513316,303813,20.07597632,0.002186156
2018,20–24,F,1332246,449877,33.76834726,0.00275806
2018,25–29,F,1245344,685525,55.04703183,0.00323233
2018,30–34,F,1129828,771411,68.27682268,0.00363434
2018,35–39,F,966193,721364,74.66042805,0.004189302
2018,40–44,F,791970,589823,74.47539601,0.005254208
2018,45–49,F,658927,491958,74.66042805,0.00618334
2018,50–54,F,550209,399081,72.53255959,0.008536366
2018,55–59,F,418278,301840,72.16249551,0.01152174
2018,60–64,F,293685,173620,59.11773671,0.01777971
2018,65–69,F,220644,82469,37.37647203,0.028514616
2018,70–74,F,157150,44053,28.03235403,0.04645465
2018,75–79,F,113672,21243,18.68823602,0.074525538
2018,80–84,F,59857,7476,12.48966268,0.119560868
2018,85–89,F,20815,1618,7.771345671,0.179168558
2018,90–94,F,4593,217,4.718317014,0.257627784
2018,95+,F,637,20,3.145544676,0.467019813
2019,15–19,M,1584032,369246,23.31054095,0.002973432
2019,20–24,M,1368759,577230,42.17176704,0.004258956
2019,25–29,M,1276941,858402,67.22334425,0.00444798
2019,30–34,M,1154059,946584,82.02215241,0.004785186
2019,35–39,M,995804,860123,86.37474304,0.00535227
2019,40–44,M,812908,706079,86.85836422,0.006556558
2019,45–49,M,659052,579454,87.92233082,0.008170374
2019,50–54,M,541007,461014,85.2140522,0.01152672
2019,55–59,M,418612,339306,81.05491004,0.015288674
2019,60–64,M,286732,192474,67.12662001,0.02298054
2019,65–69,M,193237,104668,54.16557234,0.034937178
2019,70–74,M,128021,52007,40.62417926,0.054503828
2019,75–79,M,81575,22093,27.08278617,0.085609296
2019,80–84,M,43459,7861,18.08743219,0.133176294
2019,85–89,M,16073,1819,11.31673565,0.203711778
2019,90–94,M,3138,212,6.770696543,0.303926178
2019,95+,M,300,14,4.546039107,0.50208488
2019,15–19,F,1553343,326034,20.98915928,0.002117218
2019,20–24,F,1347324,475664,35.30434626,0.002679468
2019,25–29,F,1261739,726142,57.55092061,0.003140942
2019,30–34,F,1145585,817747,71.38248641,0.003527586
2019,35–39,F,995505,777056,78.05645872,0.00406717
2019,40–44,F,824334,641851,77.86301024,0.005124286
2019,45–49,F,676712,528217,78.05645872,0.00604631
2019,50–54,F,566949,429928,75.83180128,0.008376452
2019,55–59,F,444525,335371,75.44490434,0.011306938
2019,60–64,F,308100,190427,61.80678701,0.017479392
2019,65–69,F,227817,89023,39.07659148,0.028083064
2019,70–74,F,159835,46844,29.30744361,0.045832424
2019,75–79,F,114748,22420,19.53829574,0.073681882
2019,80–84,F,62283,8133,13.0577719,0.11845156
2019,85–89,F,22302,1812,8.124835851,0.177850448
2019,90–94,F,4929,243,4.932936053,0.256172976
2019,95+,F,650,21,3.288624035,0.465845353
2020,15–19,M,1620165,394139,24.32706153,0.0029548
2020,20–24,M,1392237,612734,44.01078352,0.004232958
2020,25–29,M,1289051,904331,70.154804,0.004420226
2020,30–34,M,1172873,1003967,85.5989551,0.004755534
2020,35–39,M,1015866,915715,90.14135248,0.005318284
2020,40–44,M,851093,771482,90.6460633,0.00652625
2020,45–49,M,676209,620465,91.75642711,0.008307438
2020,50–54,M,560404,498368,88.93004652,0.012032334
2020,55–59,M,441986,373874,84.58953346,0.016396432
2020,60–64,M,301030,210883,70.05386184,0.025174404
2020,65–69,M,200519,113349,56.52761186,0.038404208
2020,70–74,M,133648,56661,42.3957089,0.058887658
2020,75–79,M,82741,23386,28.26380593,0.089743378
2020,80–84,M,43971,8300,18.87618467,0.137369592
2020,85–89,M,16697,1972,11.81023319,0.224859036
2020,90–94,M,3300,233,7.065951483,0.34130278
2020,95+,M,299,14,4.74428171,0.55933889
2020,15–19,F,1589436,348157,21.9044496,0.002055874
2020,20–24,F,1370940,505108,36.84388987,0.002610004
2020,25–29,F,1274933,765732,60.0605876,0.003060268
2020,30–34,F,1163992,867120,74.49531706,0.003433104
2020,35–39,F,1016897,828368,81.46032638,0.003959112
2020,40–44,F,860193,698979,81.25844205,0.00501731
2020,45–49,F,694138,565447,81.46032638,0.006039378
2020,50–54,F,586283,463976,79.1386566,0.008529596
2020,55–59,F,470233,370237,78.73488795,0.011622804
2020,60–64,F,323265,208513,64.50204282,0.0180884
2020,65–69,F,235156,95898,40.78063427,0.029004942
2020,70–74,F,164322,50259,30.5854757,0.046641708
2020,75–79,F,115222,23494,20.39031714,0.07316089
2020,80–84,F,64360,8770,13.62719214,0.118322968
2020,85–89,F,23809,2019,8.479141779,0.186275354
2020,90–94,F,5287,272,5.148050366,0.272848528
2020,95+,F,674,23,3.432033577,0.492360373
2021,15–19,M,1656563,399232,24.1,0.002930484
2021,20–24,M,1427882,622557,43.6,0.004197962
2021,25–29,M,1300408,903784,69.5,0.004384684
2021,30–34,M,1192846,1011533,84.8,0.004759876
2021,35–39,M,1049497,937201,89.3,0.005540084
2021,40–44,M,877933,788384,89.8,0.007090612
2021,45–49,M,696218,632862,90.9,0.009035078
2021,50–54,M,578958,510062,88.1,0.012699656
2021,55–59,M,464579,389317,83.8,0.016584246
2021,60–64,M,313665,217684,69.4,0.02447402
2021,65–69,M,210342,117792,56,0.036900338
2021,70–74,M,137117,57589,42,0.056949262
2021,75–79,M,83971,23512,28,0.087538386
2021,80–84,M,44349,8293,18.7,0.135289852
2021,85–89,M,16784,1964,11.7,0.215848578
2021,90–94,M,3338,234,7,0.325395556
2021,95+,M,302,14,4.7,0.534696747
2021,15–19,F,1626344,352917,21.7,0.002001384
2021,20–24,F,1406968,513543,36.5,0.002548736
2021,25–29,F,1287098,765823,59.5,0.00298937
2021,30–34,F,1184042,873823,73.8,0.003365848
2021,35–39,F,1050188,847502,80.7,0.004049346
2021,40–44,F,886122,713328,80.5,0.005375548
2021,45–49,F,714716,576776,80.7,0.006582374
2021,50–54,F,604554,473970,78.4,0.009235366
2021,55–59,F,494639,385818,78,0.012279788
2021,60–64,F,338857,216530,63.9,0.018624394
2021,65–69,F,241972,97757,40.4,0.02920222
2021,70–74,F,170407,51633,30.3,0.046548522
2021,75–79,F,115993,23431,20.2,0.074166718
2021,80–84,F,66349,8957,13.5,0.120808692
2021,85–89,F,24966,2097,8.4,0.192618924
2021,90–94,F,5588,285,5.1,0.284079514
2021,95+,F,706,24,3.4,0.508594635
2022,15–19,M,1689759,394883,23.3691861,0.002918278
2022,20–24,M,1469091,621100,42.27786365,0.004183572
2022,25–29,M,1308035,881517,67.39246614,0.004367378
2022,30–34,M,1210937,995735,82.22850545,0.004698408
2022,35–39,M,1082775,937597,86.59204643,0.00525197
2022,40–44,M,905273,788284,87.07688431,0.006436562
2022,45–49,M,720209,634818,88.14352766,0.008029984
2022,50–54,M,591740,505514,85.4284355,0.011366774
2022,55–59,M,476448,387156,81.25882968,0.015085876
2022,60–64,M,335999,226112,67.29549857,0.022724696
2022,65–69,M,221484,120270,54.30184322,0.034598358
2022,70–74,M,141947,57810,40.72638242,0.054012326
2022,75–79,M,85045,23091,27.15092161,0.084957188
2022,80–84,M,45001,8160,18.13293693,0.132324964
2022,85–89,M,17011,1930,11.34520653,0.202709118
2022,90–94,M,3452,234,6.787730403,0.302864374
2022,95+,M,304,14,4.557476128,0.501363618
2022,15–19,F,1660040,349305,21.04196425,0.001939464
2022,20–24,F,1448333,512611,35.39316567,0.00247753
2022,25–29,F,1295642,747530,57.69570842,0.00290626
2022,30–34,F,1202511,860542,71.56207196,0.003253004
2022,35–39,F,1082492,847081,78.25283479,0.003753122
2022,40–44,F,913125,712775,78.05889963,0.004793072
2022,45–49,F,739224,578464,78.25283479,0.005699922
2022,50–54,F,617654,469557,76.02258051,0.007979086
2022,55–59,F,508390,384519,75.6347102,0.010773308
2022,60–64,F,363779,225406,61.96228182,0.016742748
2022,65–69,F,250736,98226,39.17490118,0.027041362
2022,70–74,F,176791,51943,29.38117589,0.044361834
2022,75–79,F,115994,22720,19.58745059,0.07175443
2022,80–84,F,68232,8932,13.09062292,0.116047834
2022,85–89,F,25928,2112,8.145276483,0.17519361
2022,90–94,F,5835,289,4.945346436,0.253602024
2022,95+,F,714,24,3.296897624,0.46415362
2023,15–19,M,1719980,421586,24.5111009,0.002897678
2023,20–24,M,1510842,669964,44.3437344,0.004154356
2023,25–29,M,1318954,932310,70.68553993,0.004336326
2023,30–34,M,1227736,1058880,86.24652929,0.004665342
2023,35–39,M,1106412,1004880,90.82329087,0.0052144
2023,40–44,M,934840,853806,91.33181994,0.0063919
2023,45–49,M,749534,692949,92.45058388,0.007977624
2023,50–54,M,608714,545425,89.60282112,0.011305686
2023,55–59,M,489411,417122,85.22947117,0.01500809
2023,60–64,M,358547,253076,70.58383412,0.022624092
2023,65–69,M,234025,133290,56.95525519,0.03446206
2023,70–74,M,147935,63193,42.7164414,0.053812146
2023,75–79,M,86610,24664,28.4776276,0.08468111
2023,80–84,M,45854,8721,19.018987,0.131953562
2023,85–89,M,17481,2080,11.8995801,0.202243778
2023,90–94,M,3658,260,7.119406899,0.302343984
2023,95+,M,331,16,4.780173204,0.500924403
2023,15–19,F,1690871,373178,22.07016139,0.00188127
2023,20–24,F,1490297,553237,37.12262169,0.00241261
2023,25–29,F,1307409,791178,60.51495864,0.002830912
2023,30–34,F,1220110,915801,75.05888988,0.003164086
2023,35–39,F,1105806,907608,82.07659097,0.003651132
2023,40–44,F,942132,771353,81.87317934,0.004688182
2023,45–49,F,768778,630987,82.07659097,0.005591632
2023,50–54,F,634643,506048,79.73735727,0.007858126
2023,55–59,F,522988,414889,79.33053402,0.010611584
2023,60–64,F,389434,253093,64.99001441,0.016523298
2023,65–69,F,262076,107685,41.08914839,0.026738074
2023,70–74,F,183638,56591,30.81686129,0.043944212
2023,75–79,F,116574,23950,20.54457419,0.07122694
2023,80–84,F,70057,9619,13.73028473,0.115435332
2023,85–89,F,27401,2341,8.543288279,0.174584682
2023,90–94,F,6315,328,5.186996455,0.253142934
2023,95+,F,787,27,3.457997637,0.463996695
2024,15–19,M,1749964,425254,24.30074817,0.002873145
2024,20–24,M,1551210,681961,43.96317926,0.004120059
2024,25–29,M,1334451,935169,70.07892107,0.004299785
2024,30–34,M,1244069,1063758,85.50636701,0.004626403
2024,35–39,M,1122608,1010839,90.04385111,0.005171247
2024,40–44,M,964693,873510,90.54801601,0.006345263
2024,45–49,M,782288,717023,91.65717878,0.007925922
2024,50–54,M,626261,556332,88.83385535,0.011245909
2024,55–59,M,504815,426559,84.49803721,0.014930207
2024,60–64,M,380248,266090,69.97808809,0.022529097
2024,65–69,M,247395,139695,56.46646878,0.034339342
2024,70–74,M,153941,65194,42.34985158,0.053620516
2024,75–79,M,89584,25292,28.23323439,0.08439824
2024,80–84,M,46489,8766,18.85576725,0.131565728
2024,85–89,M,17910,2113,11.79745866,0.201955279
2024,90–94,M,3870,273,7.058308597,0.302211928
2024,95+,M,358,17,4.739150058,0.50110001
2024,15–19,F,1721386,376652,21.88075665,0.001827587
2024,20–24,F,1531031,563481,36.80403769,0.002351137
2024,25–29,F,1323726,794178,59.99562308,0.002759439
2024,30–34,F,1237587,920947,74.41473921,0.00308071
2024,35–39,F,1122455,913366,81.37221483,0.003556747
2024,40–44,F,971771,788792,81.17054887,0.004591208
2024,45–49,F,801019,651807,81.37221483,0.005493688
2024,50–54,F,652440,515774,79.05305629,0.007747442
2024,55–59,F,539488,424306,78.64972437,0.010458564
2024,60–64,F,414447,267038,64.4322742,0.016306377
2024,65–69,F,275464,112214,40.7365239,0.02642331
2024,70–74,F,190002,58050,30.55239293,0.043490389
2024,75–79,F,118988,24236,20.36826195,0.070629127
2024,80–84,F,70974,9661,13.61245229,0.114700563
2024,85–89,F,28802,2440,8.469970317,0.173895665
2024,90–94,F,6849,352,5.142481978,0.252654781
2024,95+,F,861,30,3.428321319,0.463872518
