cal_yr,age_grp,sex,sch_grp,N_g_h,n_g_h
2015,15–19,M,C,42697.59176,146
2015,20–24,M,C,71813.16102,245
2015,25–29,M,C,104218.4494,356
2015,30–34,M,C,110313.0154,376
2015,35–39,M,C,97708.00625,333
2015,40–44,M,C,78579.20773,268
2015,45–49,M,C,66716.3426,228
2015,50–54,M,C,51911.11704,177
2015,55–59,M,C,34553.9074,118
2015,15–19,F,C,37643.55268,128
2015,20–24,F,C,59046.80583,201
2015,25–29,F,C,88039.75687,300
2015,30–34,F,C,95526.49838,326
2015,35–39,F,C,88690.50328,303
2015,40–44,F,C,71707.1064,245
2015,45–49,F,C,61168.37496,209
2015,50–54,F,C,48296.20347,165
2015,55–59,F,C,33755.39949,115
2016,15–19,M,C,46363.27676,145
2016,20–24,M,C,76690.9832,240
2016,25–29,M,C,112210.2553,351
2016,30–34,M,C,120660.5113,378
2016,35–39,M,C,106725.7675,334
2016,40–44,M,C,85680.81813,268
2016,45–49,M,C,73026.99274,229
2016,50–54,M,C,57856.50087,181
2016,55–59,M,C,38209.09118,120
2016,15–19,F,C,40892.88754,128
2016,20–24,F,C,63090.08855,198
2016,25–29,F,C,94786.17936,297
2016,30–34,F,C,104423.4543,327
2016,35–39,F,C,96721.38173,303
2016,40–44,F,C,78173.52507,245
2016,45–49,F,C,66800.07052,209
2016,50–54,F,C,53817.3237,169
2016,55–59,F,C,37480.89224,117
2017,15–19,M,C,49387.08157,145
2017,20–24,M,C,79912.0628,235
2017,25–29,M,C,118003.6227,347
2017,30–34,M,C,128950.4933,379
2017,35–39,M,C,114014.6215,335
2017,40–44,M,C,91836.08411,270
2017,45–49,M,C,77351.52603,228
2017,50–54,M,C,61482.10425,181
2017,55–59,M,C,42393.34205,125
2017,15–19,F,C,43578.91031,128
2017,20–24,F,C,65785.74177,194
2017,25–29,F,C,99701.06478,293
2017,30–34,F,C,111455.0124,328
2017,35–39,F,C,103207.3659,304
2017,40–44,F,C,83729.90801,246
2017,45–49,F,C,70689.73943,208
2017,50–54,F,C,57287.31389,169
2017,55–59,F,C,41658.00524,123
2018,15–19,M,C,53112.66588,145
2018,20–24,M,C,84282.22143,231
2018,25–29,M,C,125140.6941,343
2018,30–34,M,C,137805.6648,377
2018,35–39,M,C,123120.2922,337
2018,40–44,M,C,99930.65275,274
2018,45–49,M,C,83193.55306,228
2018,50–54,M,C,66020.67739,181
2018,55–59,M,C,47268.88538,129
2018,15–19,F,C,46881.87187,128
2018,20–24,F,C,69421.24225,190
2018,25–29,F,C,105784.4635,290
2018,30–34,F,C,119037.6701,326
2018,35–39,F,C,111314.8371,305
2018,40–44,F,C,91016.53422,249
2018,45–49,F,C,75914.82893,208
2018,50–54,F,C,61582.82992,169
2018,55–59,F,C,46577.41507,128
2019,15–19,M,C,55796.73741,146
2019,20–24,M,C,87225.18519,227
2019,25–29,M,C,129713.0666,338
2019,30–34,M,C,143038.2425,373
2019,35–39,M,C,129973.1268,339
2019,40–44,M,C,106695.5486,278
2019,45–49,M,C,87561.25368,228
2019,50–54,M,C,69663.79351,182
2019,55–59,M,C,51272.50609,134
2019,15–19,F,C,49266.97509,128
2019,20–24,F,C,71877.55399,187
2019,25–29,F,C,109727.2672,286
2019,30–34,F,C,123569.6924,322
2019,35–39,F,C,117420.8782,306
2019,40–44,F,C,96990.06001,253
2019,45–49,F,C,79818.83417,208
2019,50–54,F,C,64966.39021,169
2019,55–59,F,C,50677.88851,132
2020,15–19,M,C,55945.15938,145
2020,20–24,M,C,86973.12696,226
2020,25–29,M,C,128363.1965,333
2020,30–34,M,C,142505.8008,370
2020,35–39,M,C,129979.0724,337
2020,40–44,M,C,109506.2489,284
2020,45–49,M,C,88070.48608,229
2020,50–54,M,C,70739.70652,184
2020,55–59,M,C,53068.69028,138
2020,15–19,F,C,49418.3495,128
2020,20–24,F,C,71696.40041,186
2020,25–29,F,C,108690.0783,282
2020,30–34,F,C,123081.3662,319
2020,35–39,F,C,117580.8022,305
2020,40–44,F,C,99214.97633,257
2020,45–49,F,C,80261.08184,208
2020,50–54,F,C,65858.0127,171
2020,55–59,F,C,52552.44463,136
2021,15–19,M,C,59181.89369,145
2021,20–24,M,C,92287.44738,226
2021,25–29,M,C,133976.3561,327
2021,30–34,M,C,149948.9983,366
2021,35–39,M,C,138930.0706,340
2021,40–44,M,C,116869.5347,286
2021,45–49,M,C,93815.05392,229
2021,50–54,M,C,75611.26127,185
2021,55–59,M,C,57712.1005,141
2021,15–19,F,C,52316.18802,128
2021,20–24,F,C,76127.28246,186
2021,25–29,F,C,113525.1066,277
2021,30–34,F,C,129534.9568,317
2021,35–39,F,C,125633.1488,307
2021,40–44,F,C,105743.2818,258
2021,45–49,F,C,85500.90152,209
2021,50–54,F,C,70261.00651,172
2021,55–59,F,C,57193.411,140
2022,15–19,M,C,62718.49937,144
2022,20–24,M,C,98648.10579,227
2022,25–29,M,C,140009.6317,322
2022,30–34,M,C,158150.6547,364
2022,35–39,M,C,148916.7091,342
2022,40–44,M,C,125201.6156,288
2022,45–49,M,C,100826.9091,232
2022,50–54,M,C,80289.80607,185
2022,55–59,M,C,61491.23498,141
2022,15–19,F,C,55479.43422,128
2022,20–24,F,C,81417.00878,187
2022,25–29,F,C,118728.7369,273
2022,30–34,F,C,136678.2133,314
2022,35–39,F,C,134540.2288,309
2022,40–44,F,C,113208.6679,260
2022,45–49,F,C,91876.31278,211
2022,50–54,F,C,74578.82565,171
2022,55–59,F,C,61072.40539,140
2023,15–19,M,C,66022.73324,143
2023,20–24,M,C,104920.1218,228
2023,25–29,M,C,146004.9775,317
2023,30–34,M,C,165826.5497,360
2023,35–39,M,C,157369.8467,342
2023,40–44,M,C,133710.8106,290
2023,45–49,M,C,108519.7017,236
2023,50–54,M,C,85416.61554,186
2023,55–59,M,C,65323.64579,142
2023,15–19,F,C,58441.76881,127
2023,20–24,F,C,86640.01857,188
2023,25–29,F,C,123902.9143,269
2023,30–34,F,C,143419.5754,311
2023,35–39,F,C,142136.5057,309
2023,40–44,F,C,120798.2081,262
2023,45–49,F,C,98816.10485,215
2023,50–54,F,C,79249.95638,172
2023,55–59,F,C,64973.94546,141
2024,15–19,M,C,67537.9176,143
2024,20–24,M,C,108307.5664,229
2024,25–29,M,C,148521.5115,314
2024,30–34,M,C,168943.7375,357
2024,35–39,M,C,160539.2567,339
2024,40–44,M,C,138728.9629,293
2024,45–49,M,C,113876.0371,240
2024,50–54,M,C,88355.44116,187
2024,55–59,M,C,67745.17487,143
2024,15–19,F,C,59819.05341,126
2024,20–24,F,C,89490.82983,189
2024,25–29,F,C,126129.6268,266
2024,30–34,F,C,146262.8043,309
2024,35–39,F,C,145058.8064,306
2024,40–44,F,C,125274.234,264
2024,45–49,F,C,103518.5735,219
2024,50–54,F,C,81914.1076,173
2024,55–59,F,C,67387.3583,142
2015,15–19,M,N,315616.4082,146
2015,20–24,M,N,530835.839,245
2015,25–29,M,N,770372.5506,356
2015,30–34,M,N,815422.9846,376
2015,35–39,M,N,722247.9937,333
2015,40–44,M,N,580849.7923,268
2015,45–49,M,N,493160.6574,228
2015,50–54,M,N,383721.883,177
2015,55–59,M,N,255419.0926,118
2015,15–19,F,N,278257.4473,128
2015,20–24,F,N,436468.1942,201
2015,25–29,F,N,650781.2431,300
2015,30–34,F,N,706122.5016,326
2015,35–39,F,N,655591.4967,303
2015,40–44,F,N,530051.8936,245
2015,45–49,F,N,452150.625,209
2015,50–54,F,N,357000.7965,165
2015,55–59,F,N,249516.6005,115
2016,15–19,M,N,292352.7232,145
2016,20–24,M,N,483590.0168,240
