id_synt,cal_yr,age_min,age_max,age_grp,sex,sch_grp,weight
0000123,2023,15,19,15–19,M,C,461.69743521163304
0000223,2023,15,19,15–19,M,C,461.69743521163304
0000323,2023,15,19,15–19,M,C,461.69743521163304
0000423,2023,15,19,15–19,M,C,461.69743521163304
0000523,2023,15,19,15–19,M,C,461.69743521163304
0000623,2023,15,19,15–19,M,C,461.69743521163304
0000723,2023,15,19,15–19,M,C,461.69743521163304
0000823,2023,15,19,15–19,M,C,461.69743521163304
0000923,2023,15,19,15–19,M,C,461.69743521163304
0001023,2023,15,19,15–19,M,C,461.69743521163304
0001123,2023,15,19,15–19,M,C,461.69743521163304
0001223,2023,15,19,15–19,M,C,461.69743521163304
0001323,2023,15,19,15–19,M,C,461.69743521163304
0001423,2023,15,19,15–19,M,C,461.69743521163304
0001523,2023,15,19,15–19,M,C,461.69743521163304
0001623,2023,15,19,15–19,M,C,461.69743521163304
0001723,2023,15,19,15–19,M,C,461.69743521163304
0001823,2023,15,19,15–19,M,C,461.69743521163304
0001923,2023,15,19,15–19,M,C,461.69743521163304
0002023,2023,15,19,15–19,M,C,461.69743521163304
0002123,2023,15,19,15–19,M,C,461.69743521163304
0002223,2023,15,19,15–19,M,C,461.69743521163304
0002323,2023,15,19,15–19,M,C,461.69743521163304
0002423,2023,15,19,15–19,M,C,461.69743521163304
0002523,2023,15,19,15–19,M,C,461.69743521163304
0002623,2023,15,19,15–19,M,C,461.69743521163304
0002723,2023,15,19,15–19,M,C,461.69743521163304
0002823,2023,15,19,15–19,M,C,461.69743521163304
0002923,2023,15,19,15–19,M,C,461.69743521163304
0003023,2023,15,19,15–19,M,C,461.69743521163304
0003123,2023,15,19,15–19,M,C,461.69743521163304
0003223,2023,15,19,15–19,M,C,461.69743521163304
0003323,2023,15,19,15–19,M,C,461.69743521163304
0003423,2023,15,19,15–19,M,C,461.69743521163304
0003523,2023,15,19,15–19,M,C,461.69743521163304
0003623,2023,15,19,15–19,M,C,461.69743521163304
0003723,2023,15,19,15–19,M,C,461.69743521163304
0003823,2023,15,19,15–19,M,C,461.69743521163304
0003923,2023,15,19,15–19,M,C,461.69743521163304
0004023,2023,15,19,15–19,M,C,461.69743521163304
0004123,2023,15,19,15–19,M,C,461.69743521163304
0004223,2023,15,19,15–19,M,C,461.69743521163304
0004323,2023,15,19,15–19,M,C,461.69743521163304
0004423,2023,15,19,15–19,M,C,461.69743521163304
0004523,2023,15,19,15–19,M,C,461.69743521163304
0004623,2023,15,19,15–19,M,C,461.69743521163304
0004723,2023,15,19,15–19,M,C,461.69743521163304
0004823,2023,15,19,15–19,M,C,461.69743521163304
0004923,2023,15,19,15–19,M,C,461.69743521163304
0005023,2023,15,19,15–19,M,C,461.69743521163304
0005123,2023,15,19,15–19,M,C,461.69743521163304
0005223,2023,15,19,15–19,M,C,461.69743521163304
0005323,2023,15,19,15–19,M,C,461.69743521163304
0005423,2023,15,19,15–19,M,C,461.69743521163304
0005523,2023,15,19,15–19,M,C,461.69743521163304
0005623,2023,15,19,15–19,M,C,461.69743521163304
0005723,2023,15,19,15–19,M,C,461.69743521163304
0005823,2023,15,19,15–19,M,C,461.69743521163304
0005923,2023,15,19,15–19,M,C,461.69743521163304
0006023,2023,15,19,15–19,M,C,461.69743521163304
0006123,2023,15,19,15–19,M,C,461.69743521163304
0006223,2023,15,19,15–19,M,C,461.69743521163304
0006323,2023,15,19,15–19,M,C,461.69743521163304
0006423,2023,15,19,15–19,M,C,461.69743521163304
0006523,2023,15,19,15–19,M,C,461.69743521163304
0006623,2023,15,19,15–19,M,C,461.69743521163304
0006723,2023,15,19,15–19,M,C,461.69743521163304
