id_synt,cal_yr,age_min,age_max,age_grp,sex,sch_grp,weight,q_as,p_as,ie,contribution,pension,regr_0_ind,retir_0_ind,death_ind,sch_status
0000124,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,26400.769632268584,2904.084659549544,0.0,0,0,0,C
0000224,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,15611.446948730734,1717.2591643603807,0.0,0,0,0,C
0000324,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,14320.77672116448,1575.285439328093,0.0,0,0,0,C
0000424,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,69862.63800503427,7684.890180553771,0.0,0,0,0,C
0000524,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,27742.89125052549,3051.7180375578037,0.0,0,0,0,C
0000624,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,19003.44811320155,2090.3792924521704,0.0,0,0,0,C
0000724,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,27087.244357848456,2979.5968793633306,0.0,0,0,0,C
0000824,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,3015.161060958489,331.6677167054338,0.0,0,0,0,C
0000924,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,13903.926549089112,1529.4319203998025,0.0,0,0,0,C
0001024,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,7542.656179569247,829.6921797526171,0.0,0,0,0,C
0001124,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,41192.686528285485,4531.195518111404,0.0,0,0,0,C
0001224,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,20058.269807864133,2206.4096788650545,0.0,0,0,0,C
0001324,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,63131.7836029951,6944.496196329461,0.0,0,0,0,C
0001424,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,38695.14813756559,4256.466295132215,0.0,0,0,0,C
0001524,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,9886.173910559957,1087.4791301615955,0.0,0,0,0,C
0001624,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,32192.736461657663,3541.201010782343,0.0,0,0,0,C
0001724,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,15323.197124434271,1685.5516836877698,0.0,0,0,0,C
0001824,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,24748.74530795422,2722.3619838749646,0.0,0,0,0,C
0001924,2024,15,19,15–19,M,C,472.2931301005158,0.002873145,0.997126855,33278.29492687285,3660.6124419560133,0.0,0,0,0,C
