cal_yr,age_grp,sex,pop,emp,emp_rate,qx,sch_grp,N_g_h,n_g_h
2024,15–19,M,1749964,425254,24.30074817,0.002873145,C,67537.91760437375,143
2024,15–19,M,1749964,425254,24.30074817,0.002873145,N,357716.0824,143
2024,20–24,M,1551210,681961,43.96317926,0.004120059,C,108307.56640701399,229
2024,20–24,M,1551210,681961,43.96317926,0.004120059,N,573653.4336,229
2024,25–29,M,1334451,935169,70.07892107,0.004299785,C,148521.51150961826,314
2024,25–29,M,1334451,935169,70.07892107,0.004299785,N,786647.4885,314
2024,30–34,M,1244069,1063758,85.50636701,0.004626403,C,168943.7375109408,357
2024,30–34,M,1244069,1063758,85.50636701,0.004626403,N,894814.2625,357
2024,35–39,M,1122608,1010839,90.04385111,0.005171247,C,160539.25671039653,339
2024,35–39,M,1122608,1010839,90.04385111,0.005171247,N,850299.7433,339
2024,40–44,M,964693,873510,90.54801601,0.006345263,C,138728.9629089841,293
2024,40–44,M,964693,873510,90.54801601,0.006345263,N,734781.0371,293
2024,45–49,M,782288,717023,91.65717878,0.007925922,C,113876.0371073746,240
2024,45–49,M,782288,717023,91.65717878,0.007925922,N,603146.9629,240
2024,50–54,M,626261,556332,88.83385535,0.011245909,C,88355.4411657219,187
2024,50–54,M,626261,556332,88.83385535,0.011245909,N,467976.5588,187
2024,55–59,M,504815,426559,84.49803721,0.014930207,C,67745.17487438717,143
2024,55–59,M,504815,426559,84.49803721,0.014930207,N,358813.8251,143
2024,60–64,M,380248,266090,69.97808809,0.022529097,R,47212.0,263
2024,65–69,M,247395,139695,56.46646878,0.034339342,R,30717.0,171
2024,70–74,M,153941,65194,42.34985158,0.053620516,R,19113.0,106
2024,75–79,M,89584,25292,28.23323439,0.08439824,R,11123.0,62
2024,80–84,M,46489,8766,18.85576725,0.131565728,R,5772.0,32
2024,85–89,M,17910,2113,11.79745866,0.201955279,R,2224.0,30
2024,90–94,M,3870,273,7.058308597,0.302211928,R,481.0,30
2024,95+,M,358,17,4.739150058,0.50110001,R,44.0,30
2024,15–19,F,1721386,376652,21.88075665,0.001827587,C,59819.05341387388,126
2024,15–19,F,1721386,376652,21.88075665,0.001827587,N,316832.9466,126
2024,20–24,F,1531031,563481,36.80403769,0.002351137,C,89490.82983579542,189
2024,20–24,F,1531031,563481,36.80403769,0.002351137,N,473990.1702,189
2024,25–29,F,1323726,794178,59.99562308,0.002759439,C,126129.62680816815,266
2024,25–29,F,1323726,794178,59.99562308,0.002759439,N,668048.3732,266
2024,30–34,F,1237587,920947,74.41473921,0.00308071,C,146262.80430947198,309
2024,30–34,F,1237587,920947,74.41473921,0.00308071,N,774684.1957,309
2024,35–39,F,1122455,913366,81.37221483,0.003556747,C,145058.80640939402,306
2024,35–39,F,1122455,913366,81.37221483,0.003556747,N,768307.1936,306
2024,40–44,F,971771,788792,81.17054887,0.004591208,C,125274.23400811275,264
2024,40–44,F,971771,788792,81.17054887,0.004591208,N,663517.766,264
2024,45–49,F,801019,651807,81.37221483,0.005493688,C,103518.57350670386,219
2024,45–49,F,801019,651807,81.37221483,0.005493688,N,548288.4265,219
2024,50–54,F,652440,515774,79.05305629,0.007747442,C,81914.10760530476,173
2024,50–54,F,652440,515774,79.05305629,0.007747442,N,433859.8924,173
2024,55–59,F,539488,424306,78.64972437,0.010458564,C,67387.35830436401,142
2024,55–59,F,539488,424306,78.64972437,0.010458564,N,356918.6417,142
2024,60–64,F,414447,267038,64.4322742,0.016306377,R,51458.0,286
2024,65–69,F,275464,112214,40.7365239,0.02642331,R,34202.0,190
2024,70–74,F,190002,58050,30.55239293,0.043490389,R,23591.0,131
2024,75–79,F,118988,24236,20.36826195,0.070629127,R,14774.0,82
2024,80–84,F,70974,9661,13.61245229,0.114700563,R,8812.0,49
2024,85–89,F,28802,2440,8.469970317,0.173895665,R,3576.0,30
2024,90–94,F,6849,352,5.142481978,0.252654781,R,850.0,30
2024,95+,F,861,30,3.428321319,0.463872518,R,107.0,30
