id_synt,cal_yr,age_min,age_max,age_grp,sex,sch_grp,weight,ie,sch_status,contribution,pension,q_as,p_as,regr_0_ind,retir_0_ind,death_ind
0000122,2022,15,19,15–19,M,C,435.5451344831806,14230.904297770252,C,1565.3994727547279,0.0,0.002918278,0.997081722,0,0,0
0000222,2022,15,19,15–19,M,C,435.5451344831806,8415.095869234103,C,925.6605456157514,0.0,0.002918278,0.997081722,0,0,0
0000322,2022,15,19,15–19,M,C,435.5451344831806,7719.381132720248,C,849.1319245992273,0.0,0.002918278,0.997081722,0,0,0
0000422,2022,15,19,15–19,M,C,435.5451344831806,37658.31562062605,C,4142.414718268865,0.0,0.002918278,0.997081722,0,0,0
0000522,2022,15,19,15–19,M,C,435.5451344831806,14954.353067310587,C,1644.9788374041646,0.0,0.002918278,0.997081722,0,0,0
0000622,2022,15,19,15–19,M,C,435.5451344831806,10243.49877649289,C,1126.7848654142178,0.0,0.002918278,0.997081722,0,0,0
0000722,2022,15,19,15–19,M,C,435.5451344831806,14600.937302816621,C,1606.1031033098282,0.0,0.002918278,0.997081722,0,0,0
0000822,2022,15,19,15–19,M,C,435.5451344831806,1625.2733953792927,C,178.7800734917222,0.0,0.002918278,0.997081722,0,0,0
0000922,2022,15,19,15–19,M,C,435.5451344831806,7494.684845909616,C,824.4153330500578,0.0,0.002918278,0.997081722,0,0,0
0001022,2022,15,19,15–19,M,C,435.5451344831806,4065.7457997451515,C,447.2320379719667,0.0,0.002918278,0.997081722,0,0,0
0001122,2022,15,19,15–19,M,C,435.5451344831806,22204.245857877613,C,2442.4670443665373,0.0,0.002918278,0.997081722,0,0,0
0001222,2022,15,19,15–19,M,C,435.5451344831806,10812.083207819758,C,1189.3291528601735,0.0,0.002918278,0.997081722,0,0,0
0001322,2022,15,19,15–19,M,C,435.5451344831806,34030.158329310965,C,3743.3174162242058,0.0,0.002918278,0.997081722,0,0,0
0001422,2022,15,19,15–19,M,C,435.5451344831806,20857.98852093619,C,2294.3787373029804,0.0,0.002918278,0.997081722,0,0,0
0001522,2022,15,19,15–19,M,C,435.5451344831806,5328.980811996223,C,586.1878893195845,0.0,0.002918278,0.997081722,0,0,0
0001622,2022,15,19,15–19,M,C,435.5451344831806,17352.969555449377,C,1908.8266510994315,0.0,0.002918278,0.997081722,0,0,0
0001722,2022,15,19,15–19,M,C,435.5451344831806,8259.719502539161,C,908.5691452793078,0.0,0.002918278,0.997081722,0,0,0
0001822,2022,15,19,15–19,M,C,435.5451344831806,13340.40752876049,C,1467.444828163654,0.0,0.002918278,0.997081722,0,0,0
0001922,2022,15,19,15–19,M,C,435.5451344831806,17938.122141653894,C,1973.1934355819283,0.0,0.002918278,0.997081722,0,0,0
0002022,2022,15,19,15–19,M,C,435.5451344831806,8382.060845079239,C,922.0266929587162,0.0,0.002918278,0.997081722,0,0,0
0002122,2022,15,19,15–19,M,C,435.5451344831806,29641.734770823758,C,3260.5908247906136,0.0,0.002918278,0.997081722,0,0,0
0002222,2022,15,19,15–19,M,C,435.5451344831806,17823.6917004493,C,1960.6060870494232,0.0,0.002918278,0.997081722,0,0,0
0002322,2022,15,19,15–19,M,C,435.5451344831806,14708.316316996272,C,1617.91479486959,0.0,0.002918278,0.997081722,0,0,0
0002422,2022,15,19,15–19,M,C,435.5451344831806,4567.174279850397,C,502.3891707835437,0.0,0.002918278,0.997081722,0,0,0
0002522,2022,15,19,15–19,M,C,435.5451344831806,10177.997077857322,C,1119.5796785643054,0.0,0.002918278,0.997081722,0,0,0
0002622,2022,15,19,15–19,M,C,435.5451344831806,8133.008344513986,C,894.6309178965386,0.0,0.002918278,0.997081722,0,0,0
0002722,2022,15,19,15–19,M,C,435.5451344831806,33524.29216532281,C,3687.672138185509,0.0,0.002918278,0.997081722,0,0,0
0002822,2022,15,19,15–19,M,C,435.5451344831806,109721.37807418655,C,12069.351588160522,0.0,0.002918278,0.997081722,0,0,0
0002922,2022,15,19,15–19,M,C,435.5451344831806,15981.161409021544,C,1757.9277549923697,0.0,0.002918278,0.997081722,0,0,0
0003022,2022,15,19,15–19,M,C,435.5451344831806,2373.4067792510295,C,261.0747457176132,0.0,0.002918278,0.997081722,0,0,0
0003122,2022,15,19,15–19,M,C,435.5451344831806,5338.449268344001,C,587.2294195178401,0.0,0.002918278,0.997081722,0,0,0
0003222,2022,15,19,15–19,M,C,435.5451344831806,32547.371580915602,C,3580.2108739007167,0.0,0.002918278,0.997081722,0,0,0
0003322,2022,15,19,15–19,M,C,435.5451344831806,6672.255416732839,C,733.9480958406123,0.0,0.002918278,0.997081722,0,0,0
0003422,2022,15,19,15–19,M,C,435.5451344831806,152059.30261812042,C,16726.52328799325,0.0,0.002918278,0.997081722,0,0,0
0003522,2022,15,19,15–19,M,C,435.5451344831806,4045.55114226524,C,445.01062564917646,0.0,0.002918278,0.997081722,0,0,0
0003622,2022,15,19,15–19,M,C,435.5451344831806,30871.602796831026,C,3395.876307651413,0.0,0.002918278,0.997081722,0,0,0
0003722,2022,15,19,15–19,M,C,435.5451344831806,15339.685278532026,C,1687.365380638523,0.0,0.002918278,0.997081722,0,0,0
