cal_yr,sex,age_band,rr_band
2020,F,60–64,0.7307113833913643
2020,F,65–69,0.7149845976650633
2020,F,70–74,0.6770504681298316
2020,F,75–79,0.6992508559164726
2020,F,80–84,0.6713658403442109
2020,F,85–89,0.6709535197337434
2020,F,90–94,0.7715649033571106
2020,F,95+,0.7677901213974898
2020,M,60–64,0.5550583047034213
2020,M,65–69,0.598645983292902
2020,M,70–74,0.6270027461550951
2020,M,75–79,0.617551212202986
2020,M,80–84,0.5796582891969043
2020,M,85–89,0.5635766054411473
2020,M,90–94,0.678819260698184
2020,M,95+,0.6352001286404702
2021,F,60–64,0.994165636225643
2021,F,65–69,1.01929103334157
2021,F,70–74,0.9340410182857487
2021,F,75–79,0.9625329677063593
2021,F,80–84,1.03286946878977
2021,F,85–89,0.9429031679750998
2021,F,90–94,1.1057385247012796
2021,F,95+,1.160294557444964
2021,M,60–64,0.8199673208120406
2021,M,65–69,0.8454463393916749
2021,M,70–74,0.9154044996482398
2021,M,75–79,0.8317680529971343
2021,M,80–84,0.9574947648471248
2021,M,85–89,1.06030728105734
2021,M,90–94,0.8079956661960738
2021,M,95+,0.8168261335061553
